"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"MAVS",-0.430084218533889,6.83686036885246,-3.57925311611345,0.000415272698168841,0.0523853703307899,-0.104397750428839,"Not Significant"
"SFRP2",2.48173865836791,9.57935881147541,3.57866359531272,0.000416163416218693,0.0523853703307899,-0.106261730044522,"Not Significant"
"JAGN1",-0.59711473029046,7.20631684426229,-3.5707509449254,0.000428293866730798,0.0535007697342197,-0.131253833810127,"Not Significant"
"ACP2",-0.581578727524215,7.63217516393443,-3.5650114430681,0.00043729978516424,0.0542119218517244,-0.14935110706824,"Not Significant"
"TMEM259",-0.438186293222687,8.48773790983607,-3.54929113652407,0.000462885907640462,0.0564375979970254,-0.198785605786316,"Not Significant"
"COL3A1",2.60759514522821,10.2353545491803,3.54582715537398,0.000468709687291782,0.0564375979970254,-0.209652248396065,"Not Significant"
"SLC38A10",-0.619086417704011,7.78301196721312,-3.54452401773817,0.000470918322034351,0.0564375979970254,-0.213737782696339,"Not Significant"
"LSS",-0.640839557399723,6.54061295081967,-3.54413423699062,0.000471580840999794,0.0564375979970254,-0.214959543292217,"Not Significant"
"PGPEP1",-0.535624702627941,6.60542418032787,-3.54359571848807,0.000472497612172604,0.0564375979970254,-0.216647321743274,"Not Significant"
"METTL16",-0.3600385615491,5.67622147540984,-3.53974762712023,0.000479097428281561,0.0568112341768077,-0.228700995698514,"Not Significant"
"SPDYE1",-0.37550220608575,5.83341629098361,-3.5377288540098,0.000482594303836206,0.0568141955969473,-0.235019864258354,"Not Significant"
"PIGO",-0.513579322268328,6.78967184426229,-3.53261500347852,0.000491559882454406,0.057456327974885,-0.251012041907594,"Not Significant"
"RPS6KA2",-0.716921562932233,7.13677971311475,-3.53006424578813,0.000496090049166649,0.0575745926564755,-0.25898109590063,"Not Significant"
"AKR7A3",-1.347384813278,7.78455139344262,-3.51847312900643,0.000517173736313998,0.0591650077786299,-0.295128961563709,"Not Significant"
"TNFRSF13B",-0.46737852005533,7.2150012704918,-3.51791780808677,0.00051820463574785,0.0591650077786299,-0.296858100490094,"Not Significant"
"CLCN7",-0.538091106500694,7.03287143442623,-3.51660977169545,0.000520640498663084,0.0591650077786299,-0.3009300513547,"Not Significant"
"ZNF121",0.702070816044256,7.64287213114754,3.50606555629913,0.000540672018460788,0.0607098860467151,-0.333704849972568,"Not Significant"
"SF1",-0.454951811894889,8.82432852459016,-3.50487566234598,0.000542977353546572,0.0607098860467151,-0.337397876176581,"Not Significant"
"SNORA23",0.87724701244813,10.0535711885246,3.50364825300357,0.000545365023763573,0.0607098860467151,-0.341206158538413,"Not Significant"
"DEPP1",-1.30079861687413,8.04530147540984,-3.49572135870974,0.000561023740473794,0.0620086388511422,-0.365772088942814,"Not Significant"
"SYS1",-0.451839446749657,6.81221262295082,-3.49393481854554,0.000564610559082143,0.0620086388511422,-0.371301786894409,"Not Significant"
"GTF2F1",-0.403537814661138,7.10234704918033,-3.49189865859183,0.000568724732777049,0.0620440768477575,-0.377601012160355,"Not Significant"
"SBF1",-0.436955892116186,6.92822651639344,-3.48811285704749,0.000576448914960408,0.0624702651947822,-0.389304298788717,"Not Significant"
"EEA1",0.852967067773166,7.32320643442623,3.47482904666796,0.000604336294034045,0.0650615731287705,-0.430279122315135,"Not Significant"
"TMEM192",-0.599962946058093,6.42806364754098,-3.47078261410296,0.000613079057859874,0.0655714098223463,-0.442732690098328,"Not Significant"
"CARS1",-0.514636030428772,6.79913479508197,-3.46826411517027,0.000618580190562661,0.065730170379009,-0.450477199251103,"Not Significant"
"ALG9",-0.642655449515909,7.4192693852459,-3.46235719460656,0.000631664434451591,0.0662978868590838,-0.468621431114238,"Not Significant"
"SMIM12",-0.461503955739971,5.86232360655738,-3.4621956813663,0.000632025809705272,0.0662978868590838,-0.46911715893645,"Not Significant"
"F2R",1.70429004149378,7.73735565573771,3.45933584358644,0.000638456642223682,0.0665458884926645,-0.477891327951213,"Not Significant"
"MRPL10",-0.492246334716465,6.05844254098361,-3.45506533365018,0.000648173696714099,0.0671311036267691,-0.490981382096579,"Not Significant"
"SLC25A1",-0.510135919778701,7.16744290983607,-3.4497165913866,0.000660539371999029,0.067915657560006,-0.507355920181512,"Not Significant"
"PSMF1",-0.426868464730298,8.43586991803279,-3.44821538445219,0.000664049450598934,0.067915657560006,-0.51194758087026,"Not Significant"
"DERL2",-0.698494038727524,8.12870733606557,-3.44494405978324,0.000671758896866653,0.0682774073809063,-0.521947169760449,"Not Significant"
"SLC25A26",-0.487685532503454,6.49776393442623,-3.44010083942235,0.000683326648609056,0.0689715154185712,-0.536735934353715,"Not Significant"
"TMEM134",-0.54184475795298,7.27320393442623,-3.43857160494818,0.000687017661526956,0.0689715154185712,-0.541401554771601,"Not Significant"
"DDX42",-0.46861250345782,8.35197245901639,-3.43297807146564,0.000700677827060255,0.0691772535943426,-0.558451227794651,"Not Significant"
"TMEM18",-0.577693457814665,7.03813266393443,-3.4278435125661,0.000713440271287405,0.0691772535943426,-0.574079869881999,"Not Significant"
"WDFY2",-0.788089004149381,7.2116006147541,-3.42675979080478,0.000716161593967837,0.0691772535943426,-0.577375821425298,"Not Significant"
"CDK9",-0.477225836791158,8.30163836065574,-3.4233348493009,0.000724825853336763,0.0691772535943426,-0.587786006944001,"Not Significant"
"MKNK2",-0.93908890733057,7.91798393442623,-3.42079377343851,0.000731317353724714,0.0691772535943426,-0.595503595465865,"Not Significant"
"RNF5",-0.553158948824346,6.82597885245902,-3.42067096545891,0.00073163245453649,0.0691772535943426,-0.595876448822717,"Not Significant"
"JMJD8",-0.567369322268328,7.44532319672131,-3.42048368159606,0.000732113231923633,0.0691772535943426,-0.596445032084134,"Not Significant"
"CXXC1",-0.469741950207475,5.73952356557377,-3.42025837017933,0.000732692021315883,0.0691772535943426,-0.597129027639136,"Not Significant"
"MS4A15",-0.419359515905951,4.52803987704918,-3.4196209414172,0.000734331792063442,0.0691772535943426,-0.599063899991303,"Not Significant"
"DYNLL1",0.665301632088521,8.70499836065574,3.41919986316666,0.000735416886503408,0.0691772535943426,-0.60034187638383,"Not Significant"
"ZFAND2B",-0.377296680497929,7.32674221311475,-3.41751194168464,0.000739781622768386,0.0691772535943426,-0.605463308289992,"Not Significant"
"STUB1",-0.505537773167362,6.99800118852459,-3.41750645288083,0.000739795855476042,0.0691772535943426,-0.605479958503107,"Not Significant"
"MPDU1",-0.621511964038733,8.16797290983606,-3.4113844511141,0.000755830757475832,0.0699168581808577,-0.624035943878805,"Not Significant"
"DNAJC5",-0.423146265560169,7.55357635245902,-3.41122581557433,0.000756250543755305,0.0699168581808577,-0.624516374184921,"Not Significant"
"NUBP1",-0.632103900414938,7.47372786885246,-3.40518519944644,0.000772398424706407,0.0709604880290232,-0.642795470685972,"Not Significant"
"PHYKPL",-0.476033222683269,6.89037631147541,-3.40309457153455,0.000778061745945284,0.0709604880290232,-0.649114962840506,"Not Significant"
"RBM19",-0.37234656984786,7.18948479508197,-3.40218124274944,0.000780548022807637,0.0709604880290232,-0.651874647702661,"Not Significant"
"NOL6",-0.554208921161832,6.16906512295082,-3.3999018813222,0.000786785336963041,0.0711323494699625,-0.658758974412342,"Not Significant"
"RRP7A",-0.610437012448137,7.29012836065574,-3.37772490440072,0.000849948219211777,0.0759819624487534,-0.725522150187856,"Not Significant"
"SPATA31G1",-0.644418907330566,5.47299094262295,-3.37654617288245,0.000853434378907029,0.0759819624487534,-0.729059631768958,"Not Significant"
"ILRUN",-0.499443651452286,7.06374704918033,-3.37623531772095,0.000854355969846653,0.0759819624487534,-0.729992350563059,"Not Significant"
"FAR1",0.669791051175658,8.17855258196721,3.37389989987934,0.000861309523852688,0.0761315039522061,-0.736997271709126,"Not Significant"
"WBP2",-0.577357648686036,7.7032843442623,-3.37140745926745,0.000868788825236329,0.0761315039522061,-0.74446833400525,"Not Significant"
"MKRN1",-0.498757676348541,8.83256459016394,-3.36922152710349,0.000875398183529215,0.0761315039522061,-0.751016528570284,"Not Significant"
"PYGM",-0.787787952973726,4.89614463114754,-3.36796779357042,0.000879210091516947,0.0761315039522061,-0.754770487675549,"Not Significant"
"PLPP6",-0.664299031811892,6.01959524590164,-3.36397775547568,0.000891444877094127,0.0761315039522061,-0.766709139274353,"Not Significant"
"RBM14",-0.546363983402495,6.84501360655738,-3.3627267729889,0.00089531338240073,0.0761315039522061,-0.770449584453036,"Not Significant"
"GPN2",-0.414486182572611,6.04270995901639,-3.36208066338288,0.000897317520344749,0.0761315039522061,-0.772380962828706,"Not Significant"
"IP6K1",-0.44547070539419,6.48276639344262,-3.36028566256826,0.000902907329508087,0.0761315039522061,-0.77774489232203,"Not Significant"
"LY6G5B",-0.739123665283542,7.05423725409836,-3.359597641778,0.000905058489137958,0.0761315039522061,-0.779800189868669,"Not Significant"
"NOP9",-0.446618769017987,6.28328577868852,-3.3585650958567,0.000908295807224975,0.0761315039522061,-0.782883958720695,"Not Significant"
"INPP5B",-0.565700304287691,7.53879836065574,-3.35782733834562,0.000910615491620155,0.0761315039522061,-0.785086796107628,"Not Significant"
"GTF3C2",-0.519332544951591,7.43459602459016,-3.35732546103109,0.000912196668450547,0.0761315039522061,-0.786585078825824,"Not Significant"
"HIF1AN",-0.517919031811895,6.18375549180328,-3.35595785389474,0.000916518349950171,0.0761315039522061,-0.790666844346402,"Not Significant"
"RETREG2",-0.38002686030429,6.92384893442623,-3.35354441055978,0.000924191507310089,0.0763811607354661,-0.797866342144367,"Not Significant"
"HYI",-0.371841977869991,6.31324651639344,-3.33994121142556,0.0009685725583134,0.0796468409258316,-0.838358015458659,"Not Significant"
"MTCH1",-0.499477704011071,7.83786008196721,-3.33755815384079,0.000976548899176388,0.079901230930612,-0.845436137096815,"Not Significant"
"PPIL2",-0.517117565698489,6.9753237704918,-3.33461461799532,0.00098648569885163,0.0803126963980501,-0.854172659328276,"Not Significant"
"CETN2",0.710920262793914,7.84027610655738,3.33080412127407,0.000999489100949218,0.0809685131085792,-0.86547197083132,"Not Significant"
"ERMAP",-0.463141715076073,5.69184598360656,-3.3286024848286,0.00100707482337126,0.08118114487511,-0.871995168516405,"Not Significant"
"TAB1",-0.307246085753802,5.49797819672131,-3.32564228495503,0.00101735870422299,0.0816081266465931,-0.88075973571297,"Not Significant"
